GEOID,NAMELSAD,ALAND,Shape_Leng,Shape_Area,Pop_Fa100,Pop_Fa500,Pop_Fe100,Pop_evac,Pop_NSF,Fa100_TP,Fa100_FP,Fa100_TN,Fa100_FN,Fa100_acc,Fa100_pre,Fa100_rec,Fa500_TP,Fa500_FP,Fa500_TN,Fa500_FN,Fa500_acc,Fa500_pre,Fa500_rec,Fe100_TP,Fe100_FP,Fe100_TN,Fe100_FN,Fe100_acc,Fe100_pre,Fe100_rec,Evac_TP,Evac_FP,Evac_TN,Evac_FN,Evac_acc,Evac_pre,Evac_rec,SoVI_S,FepreS,FeaccS,FerecS,Evac_preS,Evac_accS,Evac_recS,elderly,avghouse,female,kid,unemployed,house75k,poverty,rental,mobile,femalehous,nodiploma,labor,femalelab,medage,income,medhome,medrent,SSrecip,white,black,amerind,asian,hawaiian,hispanic,primaryemp,transemp,serviceemp,housesqml,SoVI_Score,SoVI_Q,SoVI_QS,SoVI_SD,SoVI_SDS,source
1.2103E+11,Block Group 2,381569,4771.154621,481030.9165,0,34,154,40,105,0,0,589,36,0.9424,0,0,7,11,578,29,0.936,0.388888889,0.194444444,33,23,566,3,0.9584,0.589285714,0.916666667,7,10,579,29,0.9376,0.411764706,0.194444444,4,3,3,1,1,2,1,46.2585034,57.82312925,53.06122449,1.749271137,9.090909091,40.84033613,1.652089407,27.89915966,28.55579869,9.075630252,4.761904762,38.48396501,48.33333333,47.2,46769,170300,1089,54.45378151,91.73955296,5.539358601,1.195217801,5.888926547,2.380905654,3.401360544,4.02711149,6.03554878,5.594405594,4038.723117,-0.040914122,2,Moderate,-0.040914122,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 3,336807,2778.793045,432211.0442,13,122,488,119,131,1,4,508,31,0.935661765,0.2,0.03125,16,14,498,16,0.944852941,0.533333333,0.5,31,106,406,1,0.803308824,0.226277372,0.96875,18,7,505,14,0.961397059,0.72,0.5625,4,1,1,2,3,3,3,52.75,64.125,52.25,1.25,6.639222022,16.17933723,2.375,52.82651072,25.31451256,7.01754386,9.25,39.875,49.84326019,64.2,31104,109300,994,52.2417154,82.5,12.375,1.283848677,3.25,2.167103096,2.75,3.134796238,12.10762332,15.24663677,3944.90414,0.973807324,3,High,0.973807324,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 1,476518,8108.724287,546008.5386,3,5,313,271,242,0,1,359,48,0.879901961,0,0,0,3,357,48,0.875,0,0,48,10,350,0,0.975490196,0.827586207,1,44,7,353,4,0.973039216,0.862745098,0.916666667,3,4,4,4,4,4,4,64.87523992,55.6621881,57.38963532,3.262955854,5.786905235,49.31034483,2.380968039,23.79310345,0.536480687,4.482758621,3.838771593,41.84261036,53.66972477,71.1,87345,661100,1477,56.89655172,96.92898273,8.567080139,1.292513669,5.881564942,2.118426946,3.071017274,3.823903639,5.783063167,14.76274663,1576.227448,0.498377731,3,High,0.498377731,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 2,1702689,7337.271939,2264690.857,30,49,42,14,33,29,3,1342,46,0.965492958,0.90625,0.386666667,68,10,1335,7,0.988028169,0.871794872,0.906666667,75,24,1321,0,0.983098592,0.757575758,1,60,33,1312,15,0.966197183,0.64516129,0.8,3,4,4,4,2,4,4,21.94986072,41.67130919,48.63509749,5.961002786,10.79274117,30.21390374,3.621169916,49.19786096,13.45454545,10.56149733,6.016713092,58.32869081,49.57173448,40,27055,223800,1405,22.72727273,81.55988858,1.169916435,1.519625151,9.749303621,2.020531047,2.896935933,1.177730193,11.04734577,9.469153515,1137.801405,-2.188362346,1,Low,-2.188362346,Low,Long_floodpop_matrix
1.2103E+11,Block Group 2,939187,19360.82703,1130731.835,43,132,1009,28,725,14,10,462,295,0.609475032,0.583333333,0.045307443,52,31,441,257,0.631241997,0.626506024,0.16828479,309,110,362,0,0.85915493,0.737470167,1,7,5,467,302,0.606914213,0.583333333,0.022653722,1,4,1,4,2,1,1,37.82549109,43.49017816,41.20603015,2.375513933,4.207119741,44.43277311,1.279122887,46.63865546,0.674536256,2.836134454,2.329830973,56.46413888,25.08445946,56.4,61814,731100,3157,45.27310924,89.62996802,1.73595249,1.3241812,0.411146642,1.952954775,10.82686158,1.52027027,1.394700139,4.463040446,2625.33709,-4.403793291,0,Very Low,-4.403793291,Low,Long_floodpop_matrix
1.2103E+11,Block Group 3,980491,7339.207262,1307242.231,120,331,406,136,202,24,40,1122,75,0.908802538,0.375,0.242424242,56,89,1073,43,0.895321174,0.386206897,0.565656566,89,109,1053,10,0.905630452,0.449494949,0.898989899,33,26,1136,66,0.92704203,0.559322034,0.333333333,1,2,2,1,2,2,2,39.86102337,40.6190777,48.57864814,5.811749842,2.063983488,79.62674961,0.505369551,1.244167963,24.55249438,9.175738725,9.602021478,61.21288692,44.04636459,56.5,57148,392800,,35.61430793,95.26216045,1.76879343,1.441507785,0.884396715,2.151536715,1.452937461,4.290748017,0.97323601,16.56063478,1698.507855,-1.703055017,1,Low,-1.703055017,Low,Long_floodpop_matrix
1.2103E+11,Block Group 1,900428,11916.16419,1177671.914,55,97,410,174,310,18,11,1417,108,0.923423423,0.620689655,0.142857143,25,25,1403,101,0.918918919,0.5,0.198412698,124,35,1393,2,0.976190476,0.779874214,0.984126984,69,6,1422,57,0.959459459,0.92,0.547619048,4,4,4,3,4,3,2,56.25,58.38815789,50.49342105,4.76670692,6.597704753,31.83098592,4.111842105,7.887323944,62.11656442,2.535211268,20.55921053,47.20394737,52.26480836,66.9,32505,59500,1056,49.85915493,91.94078947,14.32545472,0.822368421,4.111842105,1.937329352,2.467105263,4.24739302,14.63414634,30.48780488,1021.12653,0.788527078,3,High,0.788527078,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 3,1092826,13920.3265,1496313.545,49,91,1303,992,882,7,7,1690,265,0.861858812,0.5,0.025735294,12,17,1680,260,0.859319451,0.413793103,0.044117647,262,150,1547,10,0.918740477,0.63592233,0.963235294,184,93,1604,88,0.908075165,0.664259928,0.676470588,3,3,2,2,2,1,3,54.81049563,55.74344023,54.11078717,4.956268222,3.081664099,52.71966527,2.040816327,31.58995816,12.97770701,9.728033473,5.072886297,37.8425656,58.6645469,68.6,51856,339100,1760,49.37238494,91.0787172,1.690962099,1.335918575,3.148688047,2.025748347,4.43148688,3.497615262,6.14812322,12.47637051,2265.724348,0.38038023,2,Moderate,0.38038023,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 3,921196,11592.46049,1193799.641,33,69,291,149,171,2,10,645,80,0.877883311,0.166666667,0.024390244,15,26,629,67,0.873812754,0.365853659,0.182926829,80,60,595,2,0.91587517,0.571428571,0.975609756,52,20,635,30,0.932157395,0.722222222,0.634146341,1,3,2,2,3,2,3,23.81909548,46.33165829,45.52763819,13.16582915,3.165735568,51.84381779,3.316582915,14.31670282,2.786885246,12.89061131,4.120603015,53.96984925,47.30769231,56.2,87459,509400,,27.76572668,94.07035176,17.17336619,1.352811837,6.212137084,1.822449169,5.929648241,4.483928749,6.173492464,16.54501217,1296.131544,-1.234128291,1,Low,-1.234128291,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 2,2371878,8461.11973,3186176.839,60,135,836,125,254,5,16,3662,87,0.972679045,0.238095238,0.054347826,25,23,3655,67,0.976127321,0.520833333,0.27173913,78,182,3496,14,0.94801061,0.3,0.847826087,27,17,3661,65,0.978249337,0.613636364,0.293478261,2,1,3,1,2,4,1,21.30325815,42.6566416,46.21553885,9.824561404,0.325732899,39.60047004,2.642936175,22.3266745,22.98479302,8.813160987,7.518796992,61.55388471,50.98039216,36.5,45156,303800,1087,29.02467685,78.89724311,2.857142857,1.416524087,11.42857143,1.872441042,4.711779449,0.490196078,0.609756098,18.17073171,929.26036,-0.343976561,2,Moderate,-0.343976561,Moderate,Long_floodpop_matrix
